name1,name2
联安电子,崔记夹饼
清华新能源汽车,漫思居茶舍
文卿商贸有限公司,三吊牛汇潮汕牛肉火锅店
亿高装饰美·素设计工作室,王姐关东煮麻辣烫
智华佳谊,汶上县那年月餐厅
农信通光伏发电(金祥新天地商业街店),顺子烧烤
瑞特莱纳环境科技有限公司,梁山嘎味儿私房菜馆
舒雅奇沙发厂,醉渔巷烤鱼(济州上城店)
圣达石雕厂,水泊大虾
润华雪佛兰(济宁高新区店),檬小7(琵琶山店)
邹城进口货物集中监管仓,吉祥家常菜(华盛苑店)
山东得西普科技股份有限公司,红西冷饮
济宁诺鸣商贸有限公司,浩祥甏肉干饭
济宁鑫宇农产品有限公司,猛猛夹饼
合强农贸公司,檬小7水果鲜茶
济宁圣电电子有限公司,火爆铁板鱿鱼
熙程互联网电商基地,蜜雪冰城(嘉祥店)
山东惠万农农贸有限公司,兰州拉面
快捷广告(龙行路),天天火锅
鑫鑫科技,老味餐馆
济宁梓森服饰有限公司,华乐士全鸡汉堡(京杭佳苑店)
济宁新光真空科技有限公司,汶上县广状蛋糕店
山东兖丰种业有限公司,重庆鸡公煲(运河城商业摩尔店)
火星夹饼(科苑店),曲阜市西宾路双龙超市檬小七饮品店
嘉祥县北汽新能源,功夫小面熊猫撸串
恒兴装饰,曲阜市大院子烧烤
乾城装饰设计工作室,红宝石
梁山正旭机械配件制造有限公司,小航家厚切炒酸奶
有容旅游公司,小幸福铁板风味小吃
