id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0IU5SU6Z0,崔记夹饼,梦园南区北门旁,山东省,370000,济宁市,537,任城区,370811,[],餐饮服务;中餐厅;中餐厅,[],2022-09-02T06:40:19,116.568716,35.418187,116.5634086,35.41861621,餐饮服务,中餐厅,中餐厅
B0IDZA4S7M,漫思居茶舍,科苑路40号,山东省,370000,济宁市,537,任城区,370811,[],餐饮服务;茶艺馆;茶艺馆,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/056f0434b27884b37cdd006b44f1e3bf'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/211d6a1d75ed23ac8ada11554703f569'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/97e4e2f0bde474d7e15028e472b80050'}]",2022-09-02T06:34:31,116.616253,35.422323,116.6109483,35.42275999,餐饮服务,茶艺馆,茶艺馆
B0IDP9RLFS,三吊牛汇潮汕牛肉火锅店,格林豪泰酒店底商,山东省,370000,济宁市,537,梁山县,370832,0537-7333158,餐饮服务;中餐厅;火锅店,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1e370e2c2d04b95f3aa89b74fa7e4e06'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5cfce9eb1b9250204d6cbbb8a8a5fdab'}]",2022-09-02T06:34:20,116.088291,35.779558,116.08245,35.77943702,餐饮服务,中餐厅,火锅店
B0ID7CHN65,王姐关东煮麻辣烫,水泊大街与虎头峰路交叉口西北420米,山东省,370000,济宁市,537,梁山县,370832,[],餐饮服务;中餐厅;中餐厅,[],2022-09-02T06:34:16,116.079532,35.786158,116.0736933,35.78604027,餐饮服务,中餐厅,中餐厅
B0IDBAMCDP,汶上县那年月餐厅,南站街道中都大街与金成路交汇处西10米路南,山东省,370000,济宁市,537,汶上县,370830,15751592518,餐饮服务;中餐厅;中餐厅,[],2022-09-02T06:34:04,116.493978,35.700262,116.4884277,35.70033059,餐饮服务,中餐厅,中餐厅
B0HROCKIP3,顺子烧烤,贯通农贸城西南,山东省,370000,济宁市,537,鱼台县,370827,13583707448,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a32cad710623c3154686cdb5c2fbdd86'}]",2022-09-02T06:29:39,116.639312,34.989975,116.6340115,34.99082315,餐饮服务,中餐厅,中餐厅
B0HKYCXRQG,梁山嘎味儿私房菜馆,水泊大街与虎头峰路交叉口北320米,山东省,370000,济宁市,537,梁山县,370832,[],餐饮服务;中餐厅;中餐厅,[],2022-09-02T06:19:19,116.081818,35.786312,116.0759781,35.7861924,餐饮服务,中餐厅,中餐厅
B0IDYMTRHF,醉渔巷烤鱼(济州上城店),火炬路济州上城负一层美食节,山东省,370000,济宁市,537,任城区,370811,17562041721,餐饮服务;中餐厅;综合酒楼,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0f524bf05d6c186e543df85726835155'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/148394a98037fa2c7b6834233234ceda'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/2b9f8776c009b727e12d5ef140d544f4'}]",2022-09-02T06:16:59,116.621383,35.395006,116.6160743,35.3954611,餐饮服务,中餐厅,综合酒楼
B0GUU6YO3P,水泊大虾,工人路(金河名仕花园),山东省,370000,济宁市,537,梁山县,370832,13385376499,餐饮服务;中餐厅;中餐厅,[],2022-09-02T05:49:40,116.099586,35.822158,116.0937426,35.82201991,餐饮服务,中餐厅,中餐厅
B0FFKQI6CU,檬小7(琵琶山店),琵琶山市场东一门,山东省,370000,济宁市,537,任城区,370811,13258051679,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/cf3ae5e9c0f8b25108c3019f9ff64714'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6091c21b309a75c4f3e8198d55f7c3a1'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/dc6b45de43978010046a7dbc32ed9ace'}]",2022-09-02T05:38:33,116.60987,35.413648,116.6045728,35.4140962,餐饮服务,餐饮相关场所,餐饮相关
