,id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
0,B0FFLMCNT3,F178(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:14:59,116.603176,35.40822,116.59788414446732,35.408675246825624,室内设施,室内设施,室内设施
1,B0FFLIN7ZX,002(运河城商业摩尔),共青团路17号运河城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:12:51,116.589251,35.407249,116.58396137630608,35.40770422339262,室内设施,室内设施,室内设施
2,B0FFLMCNTM,F191(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:11:57,116.603767,35.408349,116.59847480621409,35.40880398829505,室内设施,室内设施,室内设施
3,B0FFM9CFE4,停车位(龙贵购物广场邹城店),太平西路769号龙贵购物广场(邹城店)B2层,山东省,370000,济宁市,537,邹城市,370883,[],室内设施;室内设施;室内设施,[],2022-06-01T20:10:40,116.964231,35.405552,116.95867107945529,35.4059200994764,室内设施,室内设施,室内设施
4,B0FFLIN82J,098(运河城商业摩尔),共青团路17号桥梁城商业摩尔B3层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:09:45,116.589762,35.408309,116.58447238280684,35.40876352883615,室内设施,室内设施,室内设施
5,B0FFLMCNVF,G035(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:08:08,116.604043,35.40872,116.5987506107365,35.40917460566368,室内设施,室内设施,室内设施
6,B0FFLIN7YW,停车位(金马假日酒店),车站西路33号金马假日酒店B1层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:06:41,116.589282,35.389655,116.58399414427656,35.39012499602789,室内设施,室内设施,室内设施
7,B0FFHW7Z9N,楼梯(贵和购物中心),太白楼中路16号贵和购物中心F5层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T20:06:30,116.590717,35.405938,116.58542779119152,35.406394802191656,室内设施,室内设施,室内设施
8,B0FFLMCO0Y,G163(万达广场),太白东路55号万达广场B2层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T19:53:30,116.605161,35.408814,116.59986791861904,35.40926818715656,室内设施,室内设施,室内设施
9,B0FFHUOBQ0,E063(万达广场),钟山东路55号万达广场B1层,山东省,370000,济宁市,537,任城区,370811,[],室内设施;室内设施;室内设施,[],2022-06-01T19:36:06,116.603326,35.408259,116.598034059757,35.40871417743892,室内设施,室内设施,室内设施
