id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0IDH5OOLX,顽主机车俱乐部,铁山路108号,山东省,370000,济宁市,537,邹城市,370883,18605379989,摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-24T03:06:00,116.96494,35.401435,116.95937791240254,35.40180473258916,摩托车服务,摩托车服务相关,摩托车服务相关
B0ID21BAPL,修理电动车摩托,联丰公路养护工程公司西侧70米,山东省,370000,济宁市,537,汶上县,370830,[],摩托车服务;摩托车维修;摩托车维修,[],2022-08-18T02:30:43,116.480509,35.765532,116.47490425121995,35.76553393426137,摩托车服务,摩托车维修,摩托车维修
B0FFG9VITH,宝马摩配,唐村镇共建路969号,山东省,370000,济宁市,537,邹城市,370883,[],摩托车服务;摩托车销售;宝马摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/631ecdd1554a8883a5523a251a6e45c5'}]",2022-08-15T12:27:02,116.946946,35.330443,116.94145113569633,35.33091585013706,摩托车服务,摩托车销售,宝马摩托车销售
B0FFH1J6R9,赛鸽电动车,马号街西50米,山东省,370000,济宁市,537,兖州区,370812,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-11T14:11:35,116.67863,35.645688,116.67316437120984,35.64587916223542,摩托车服务,摩托车服务相关,摩托车服务相关
B0IDZR99FL,骑士部落机车生活馆(装修中),曾子大道16号,山东省,370000,济宁市,537,嘉祥县,370829,0537-6665670,摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-11T03:08:03,116.376901,35.418374,116.3711918281558,35.418468791196,摩托车服务,摩托车服务相关,摩托车服务相关
B0ID2CSOLR,精修电动车摩托车,马坡乡石里南村卫生室北侧120米,山东省,370000,济宁市,537,微山县,370826,[],摩托车服务;摩托车维修;摩托车维修,[],2022-08-04T03:49:14,116.769605,35.276785,116.76404850426394,35.27717877621806,摩托车服务,摩托车维修,摩托车维修
B0FFHJXL6U,新鸽三轮摩托(大阳),中国油联加油站(吴家庄)西南侧90米,山东省,370000,济宁市,537,邹城市,370883,[],摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/db42d308ac782dd27274705796e238b8'}]",2022-08-02T10:16:47,117.238676,35.374024,117.23284170208888,35.37430955575435,摩托车服务,摩托车销售,摩托车销售
B02190B4YH,燕军车行,318省道与0236县道交叉口东40米,山东省,370000,济宁市,537,鱼台县,370827,0537-6312357,摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4956d9614082c1f269ad6bbef7aec4b3'}]",2022-08-02T05:13:29,116.567525,34.967669,116.56226070081895,34.968556249708406,摩托车服务,摩托车销售,摩托车销售
B0IRJLNZ1J,电机犹太祭司,共建路与香港路和平路东北40米,山东省,370000,济宁市,537,邹城市,370883,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-01T22:44:05,116.889207,35.374749,116.88379084434943,35.37522435314972,摩托车服务,摩托车服务相关,摩托车服务相关
B0GKZODKQ3,建民车行,中国联通(水店村建民手机销售中心)西南侧70米,山东省,370000,济宁市,537,汶上县,370830,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-01T22:00:57,116.469953,35.571049,116.46433350206976,35.571117857853416,摩托车服务,摩托车服务相关,摩托车服务相关
B0IDKKDS4B,旭派充电电池专修摩托车,琵琶小路与琵琶山中心街交叉口东40米,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-01T21:36:39,116.60622,35.411365,116.6009259554536,35.411816712448065,摩托车服务,摩托车服务相关,摩托车服务相关
B0IR214FC5,电动摩托车维修,明星路与尚书路交叉口西北20米,山东省,370000,济宁市,537,汶上县,370830,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-08-01T21:12:33,116.498966,35.728103,116.4934307243136,35.72817435527052,摩托车服务,摩托车服务相关,摩托车服务相关
B0ID6C4Z3O,GMCC机车俱乐部,碧桂园·济洲印象北门西头门面1-12商铺,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0ID6C4Z3O/comment/content_media_external_images_media_221760_1652929013439_06ace4e8.jpg'}, {'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0ID6C4Z3O/comment/content_media_external_images_media_221761_1652929013439_2d01aeca.jpg'}, {'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0ID6C4Z3O/comment/content_media_external_images_media_211444_1652929013440_b1d9fb77.jpg'}]",2022-08-01T14:49:26,116.565889,35.435777,116.56057569357576,35.436188286562526,摩托车服务,摩托车服务相关,摩托车服务相关
B0IDMRYKA7,翔驰机车联盟,西五里营路与内环高架路辅路交叉口东北200米,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/87d887fcbbc5f2b7f34450ce9e7eed6f'}]",2022-08-01T04:06:54,116.527958,35.391351,116.52255726152612,35.391718788127704,摩托车服务,摩托车服务相关,摩托车服务相关
B0GKJ7YO1V,摩托车电动车维修,豪德商贸城J区北4门旁,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c3a44f6164d52fc035e60212f44c6253'}]",2022-08-01T04:06:12,116.523949,35.394446,116.51853507750984,35.39480024408123,摩托车服务,摩托车维修,摩托车维修
B0FFG9VY4S,豪爵吉田专卖,城前镇,山东省,370000,济宁市,537,邹城市,370883,[],摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/2d9f3362-9d17-43ea-9b2d-38b21bc7bcee.jpg'}]",2022-07-27T13:50:41,117.412005,35.339704,117.40589496304229,35.33983646457609,摩托车服务,摩托车销售,摩托车销售
B0FFIW9MC4,新新摩托车电动车维修(廿里铺街道办事处北),105国道西50米,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车维修;摩托车维修,[],2022-07-27T04:45:24,116.539141,35.494918,116.53376306229652,35.495233243394146,摩托车服务,摩托车维修,摩托车维修
B0FFKQLWTG,摩托锂电池维修,中御桥南路北门口南门超市对过三千里三千里烧烤对过,山东省,370000,济宁市,537,兖州区,370812,18854755855,摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/03df67b3a819c13a1555f042c7a218a2'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d8e5e4d765a631e4e3e0b8e649024c36'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/0e4a43565367de546081a1b54525d534'}]",2022-07-25T23:22:53,116.828326,35.542464,116.82281955099896,35.54272582874435,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFKRPMFP,联众摩配,(山东省微山县两城第一中学东北侧约50米),山东省,370000,济宁市,537,微山县,370826,[],摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2f8b9b603aef1944c4457b6c725bfd6d'}]",2022-07-22T05:52:26,116.736871,35.138604,116.73133869543074,35.139137349717465,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFK51WVC,自行车电动车维修,英华北路与二胡山中心街交叉口北80米,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-07-21T16:11:06,116.611278,35.412124,116.60597969692874,35.41257267602154,摩托车服务,摩托车服务相关,摩托车服务相关
B0IAHH4F2M,VFLY高端汽车(运河路店),水道路36号,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/21fe535f698a8d0dce1ec0ef17909e06'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/715d23196b160d3e3aa4379136f1019b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/aa175070d65fc97ff0624b8ebd9f4b77'}]",2022-07-20T02:12:58,116.58858,35.402173,116.58329071416983,35.40263218527775,摩托车服务,摩托车销售,摩托车销售
B0IAGS6WGP,电动车摩托车维修超威电池,英华南路,山东省,370000,济宁市,537,任城区,370811,18253785502,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8b0199fd28d56e7b13c109d48b5f6bf2'}]",2022-07-14T09:35:21,116.611312,35.403224,116.60601455652012,35.4036800215276,摩托车服务,摩托车维修,摩托车维修
B0FFGAUSN7,国成摩托车电动车维修部,内环高架路杨楼小区,山东省,370000,济宁市,537,任城区,370811,13505373745,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/bbab65558f59c66a8adfadbf41c56b10'}]",2022-07-02T02:04:34,116.631836,35.438216,116.62650558498994,35.43862394714691,摩托车服务,摩托车维修,摩托车维修
B0FFHER39Q,鑫豪摩托维修,大安镇谷村商业街,山东省,370000,济宁市,537,兖州区,370812,13791768444,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1ca91fad3cb1554b1a3b897fded73e27'}]",2022-07-02T01:41:50,116.821654,35.63606,116.81612586224094,35.63625404748247,摩托车服务,摩托车维修,摩托车维修
B0HR6C9Y1J,豪爵吉田销售店,建设工程北路8-2号,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ca66e2faaa565ede2b333e136680c788'}]",2022-07-02T01:22:40,116.597093,35.418949,116.59180232078695,35.41939613668947,摩托车服务,摩托车销售,摩托车销售
B0FFGSEZYE,精修电动车摩托车,金山街123号附近,山东省,370000,济宁市,537,金乡县,370828,15898611113,摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/346fbdac0401530aec43e85d542ef214'}]",2022-07-02T01:16:58,116.31144,35.074991,116.30588984638302,35.07553555860439,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFH8DMTV,张庄公峰车行石牌摩托邹城总代理,尧王线东50米,山东省,370000,济宁市,537,邹城市,370883,0537-5710438,摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-07-02T01:12:23,117.243531,35.369537,117.2376969940082,35.369828008314464,摩托车服务,摩托车服务相关,摩托车服务相关
B0H2OK7NRG,龙腾摩托车电动车维修,京澳线汶上农商银行(南站支行)南侧约160米,山东省,370000,济宁市,537,汶上县,370830,[],摩托车服务;摩托车服务相关;摩托车服务相关,[],2022-07-02T01:00:24,116.50154,35.627517,116.49602442475236,35.627644358587744,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFHLQLRE,隆鑫三轮机车,车站东路46-6号,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d15dc5a85601d868e06dcaea9f30231f'}]",2022-07-02T00:06:34,116.600687,35.39591,116.5953975410812,35.39637599557546,摩托车服务,摩托车销售,摩托车销售
B0G3S7X3ZS,敬华三车大修店,上屯村南首路东,山东省,370000,济宁市,537,邹城市,370883,15969793013,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/70deae52385c39248beebc5a949f5d5d'}]",2022-07-01T23:50:33,116.810894,35.243466,116.80538773785064,35.243947009927766,摩托车服务,摩托车维修,摩托车维修
B0FFHLEU5S,安心摩修,海关东路1-4号,山东省,370000,济宁市,537,任城区,370811,13583723100,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b927ec6366f10338953b56dc100ccc26'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/32c2a4faada67e045facb3e8d26690e1'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ab8de67318c0e559f0fc841821872951'}]",2022-07-01T23:35:04,116.615694,35.417732,116.61039042948497,35.41817314292995,摩托车服务,摩托车维修,摩托车维修
B0FFHKJU4T,锋子车行,连菏线,山东省,370000,济宁市,537,任城区,370811,[],摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a6a9aa71b0b8c7dec7ef84cb58e12bc2'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/aaa3c876731f2ebc8fb131dfad52196e'}]",2022-07-01T23:30:57,116.486224,35.368614,116.48068041860142,35.3688794649019,摩托车服务,摩托车销售,摩托车销售
