id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0FFKQ525Z,兴源轮胎店流动补胎,邹王线付邱(东外环邹王线交叉路口东2.6公里路南),山东省,370000,济宁市,537,邹城市,370883,13406278632,汽车服务;汽车配件销售;汽车配件销售|汽车服务;汽车养护/装饰;汽车养护|汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/87eaf11b0cdba0d8f60645b6d7eec9b7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/4b4624cc7699836e2bced1817bae65eb'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/64da419c5a1042842edafaf323c33bf6'}]",2022-09-02T04:56:39,117.121492,35.30612,117.11551557376065,35.30629836014803,汽车维修,汽车维修,汽车维修
B0FFFOLNN1,德国马牌轮胎(安桥北路店),鱼山镇红星西路14-24号,山东省,370000,济宁市,537,任城区,370811,0537-2551779;13406279799,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/38bc53840180c071627c432528622e83'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/2eebba969517c5279e651fbe94832db3'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/924f12df90e93a48d5d9620226ffac85'}]",2022-09-02T04:25:39,116.565511,35.414733,116.56019922265348,35.415160699874164,汽车维修,汽车综合维修,汽车综合维修
B0IDK6B1YN,陆通汽修,建设西路与泗河大道交叉口东200米,山东省,370000,济宁市,537,兖州区,370812,[],汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3311968cb60aef6eb4d19521a35f17e8'}]",2022-09-01T17:45:49,116.743457,35.555132,116.7378757585031,35.55529349915744,汽车维修,汽车维修,汽车维修
B0IDB7LEB0,鑫博特汽修,大禹南路代村新区东侧约60米,山东省,370000,济宁市,537,兖州区,370812,17686163899,汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/721cfd3d56ae82ac3f96db93381b7708'}]",2022-09-01T16:36:27,116.799811,35.524276,116.79425837143424,35.524499206510235,汽车维修,汽车维修,汽车维修
B0FFG6BA5S,利宁汽修厂,济邹路,山东省,370000,济宁市,537,任城区,370811,0537-2630050,汽车维修;汽车综合维修;汽车综合维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/12aa46852c9ecc27627b88ef024726bf'}]",2022-09-01T14:26:27,116.652232,35.388299,116.64686184818764,35.38871612212896,汽车维修,汽车综合维修,汽车综合维修
B0FFG6LMRZ,茂源汽车配件,327国道南50米,山东省,370000,济宁市,537,泗水县,370831,18454770456,汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a346f085d1662dbce7c82f2d3de9c3c9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c80709a75c0a005235b1c9037077849b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d6ddd14153a059ce56fdf9e802e70d94'}]",2022-09-01T09:20:22,117.439575,35.638921,117.43346178121456,35.63886625308815,汽车维修,汽车维修,汽车维修
B0GDJR4ECW,永兴汽修,郭里镇伏羲社区,山东省,370000,济宁市,537,邹城市,370883,15106787518;15106760892,汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/08a55f36b97046cbfc8890c7460c9bed'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d7ca963aebfe74d2b44120189a94a6b8'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/f4fbc36cc1d136a6625eff7137c18818'}]",2022-09-01T05:40:33,116.820272,35.221856,116.81478412195426,35.22237600617697,汽车维修,汽车维修,汽车维修
B0FFHJNDFS,新兴业汽修厂,济岱路煤矿路口南30米,山东省,370000,济宁市,537,任城区,370811,[],汽车维修;汽车综合维修;汽车综合维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4fc40c15c3fa24b2089e248e97a79b04'}]",2022-08-31T20:22:10,116.585875,35.455661,116.58057940989228,35.456076121211595,汽车维修,汽车综合维修,汽车综合维修
B0GK9AO44K,快修连锁店,313省道与龙山路交叉口西120米,山东省,370000,济宁市,537,邹城市,370883,[],汽车维修;汽车维修;汽车维修,[],2022-08-31T19:26:19,117.399968,35.34033,117.39385806996978,35.34046001274183,汽车维修,汽车维修,汽车维修
B0FFK1PTU5,祥龙钣金保养,泉福路与圣安路交叉路口往北约140米,山东省,370000,济宁市,537,泗水县,370831,15265782123,汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/09b3a38c590b8a2a340ac653c406efea'}]",2022-08-31T18:47:45,117.257151,35.66874,117.25127842961716,35.66882622367541,汽车维修,汽车维修,汽车维修
B0G3JR8JDI,顺驰快修,京澳线马房屯小学东侧约210米,山东省,370000,济宁市,537,任城区,370811,[],汽车维修;汽车维修;汽车维修,[],2022-08-31T08:20:44,116.509775,35.329488,116.50431936728504,35.329858798605045,汽车维修,汽车维修,汽车维修
B0FFLJY4OO,福贵汽修,鱼山镇金乡县山禄大蒜市场南首金恒物流园对过,山东省,370000,济宁市,537,金乡县,370828,[],汽车维修;汽车维修;汽车维修,[],2022-08-30T19:49:57,116.277372,35.045071,116.27187767310932,35.04569873432497,汽车维修,汽车维修,汽车维修
B0IDSLPCKE,世强汽修,环城南路5020,山东省,370000,济宁市,537,汶上县,370830,15092792222;15092758898,汽车维修;汽车维修;汽车维修,[],2022-08-30T17:45:09,116.468075,35.690623,116.46243701179216,35.69062268780625,汽车维修,汽车维修,汽车维修
B0FFHEUCVF,华驰专修,迎宾大街盛德医院西北侧约140米,山东省,370000,济宁市,537,曲阜市,370881,15763752223;15163762222,汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3063fef3e35e2230c5f8ecead92fbdb1'}]",2022-08-30T15:11:01,117.002297,35.614603,116.99655962256148,35.61471642811715,汽车维修,汽车维修,汽车维修
B0ID5AID0T,新能源汽车服务站,山东省济宁市梁山县水泊南路新汽车站对面,山东省,370000,济宁市,537,梁山县,370832,[],汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0ID5AID0T/comment/1653784374627_temp_1653784376813_94405b18.jpg'}, {'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0ID5AID0T/comment/1653784403597_temp_1653784405323_80c86bd8.jpg'}, {'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0ID5AID0T/comment/1653784580500_temp_1653784581995_58a9b9ec.jpg'}]",2022-08-30T15:10:56,116.088247,35.774154,116.08240656638964,35.77403504218736,汽车维修,汽车维修,汽车维修
