id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0G0HAINLV,余味斋(西门),运河路与津浦北巷交叉口西160米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-06-01T22:46:34,116.589662,35.393467,116.58437384737724,35.393933901654414,通行设施,临街院门,临街院门
B0HGO7WGYQ,微山县湖区短途运输管理处(南门),S38岚菏高速与S38岚菏高速出口交叉口北60米,山东省,370000,济宁市,537,微山县,370826,[],通行设施;临街院门;临街院门,[],2022-06-01T20:24:19,116.741183,35.122236,116.73564832447916,35.122785276392385,通行设施,临街院门,临街院门
B0FFM22DJ5,家和家园(西门),[],山东省,370000,济宁市,537,汶上县,370830,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0a40d77438e4337034b363f99b382b39'}]",2022-06-01T20:24:10,116.510908,35.712402,116.5054170616799,35.71251577596271,通行设施,临街院门,临街院门
B0FFJ7ZPBN,金阁花园(南门),建设路197号金阁花园,山东省,370000,济宁市,537,兖州区,370812,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1f9ddf8ad56acf9cfb9616021d3b0fda'}]",2022-06-01T20:23:09,116.826557,35.55585,116.8210459830616,35.55609989763707,通行设施,临街院门,临街院门
B0FFGGCWZO,同德大厦(北门),静轩东路34号附近,山东省,370000,济宁市,537,曲阜市,370881,[],通行设施;建筑物门;建筑物正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a50efa3102e78f395c27e'}]",2022-06-01T20:22:52,117.000466,35.589775,116.99473912162158,35.58990823547755,通行设施,建筑物门,建筑物正门
B0FFJUYCM8,康城丽景(北门),丰泰路与新元路交叉口西150米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7d7b6a3e977c9a060eb02788ac49f102'}]",2022-06-01T20:21:37,116.609866,35.432514,116.604566951692,35.432946956955185,通行设施,临街院门,临街院门
B0FFJSOBOH,鸿顺观邸1期(东北门),河都路与奥体路中山北路西北320米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5b0efaa27e3dd6297d0869a24ed5d4d5'}]",2022-06-01T20:20:59,116.602555,35.359226,116.59726836811258,35.35972337465006,通行设施,临街院门,临街院门
B0FFKDMQS9,任兴家园(北2门),任兴路,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c5508c34f3350925aeca4ab14c830de2'}]",2022-06-01T20:19:58,116.61981,35.446322,116.61449832717004,35.446736951313795,通行设施,临街院门,临街院门
B0FFKFHDZ6,兖州区人民检察院派驻大安检察室(东门),大丰路与255省道交叉口东北200米,山东省,370000,济宁市,537,兖州区,370812,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c8629afa664e6f888e6b22856df35d16'}]",2022-06-01T20:18:52,116.777333,35.614457,116.77174585023248,35.614595515633404,通行设施,临街院门,临街院门
B0FFJ9E5BS,华鲁空调设备宿舍(东2门),菱花南路中段南70米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-06-01T20:18:42,116.647423,35.42235,116.6420609967518,35.42274714241586,通行设施,临街院门,临街院门
