id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0IUH5OD57,中国工商银行,玛格丽医疗美容医院南侧100米,山东省,370000,济宁市,537,任城区,370811,[],金融保险服务;银行;中国工商银行,[],2022-09-02T03:53:21,116.61326,35.449097,116.60795599350554,35.449514926671924,金融保险服务,银行,中国工商银行
B0IR411UHP,平安保险,中区火炬南路居然之家D座,山东省,370000,济宁市,537,任城区,370811,[],金融保险服务;金融保险服务机构;金融保险机构,[],2022-09-01T18:50:39,116.622714,35.414902,116.61740132574428,35.41533926094579,金融保险服务,金融保险服务机构,金融保险机构
B02190AG0T,金乡县农村商业银行(金乡支行),中心街西首路北,山东省,370000,济宁市,537,金乡县,370828,0537-8727934,金融保险服务;银行;农村商业银行,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e275121e13a3ac22bb45d2e03f1635a7'}]",2022-09-01T17:33:37,116.301088,35.064806,116.29555844251398,35.06537978080764,金融保险服务,银行,农村商业银行
B0IDFSG12V,曲阜农商银行(蓼河分理处),孔子大道与文盛路交叉口南160米,山东省,370000,济宁市,537,曲阜市,370881,0537-4916101,金融保险服务;银行;农村商业银行,[],2022-09-01T14:10:16,116.970021,35.556299,116.96442366967682,35.556541544019886,金融保险服务,银行,农村商业银行
B02190A7LA,汶上农商银行24小时自助银行(东门支行),尚书路469-493号,山东省,370000,济宁市,537,汶上县,370830,[],金融保险服务;自动提款机;农村商业银行ATM,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b7323c05363c03bb8a8fa2ed99aba329'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a54ffa3102e78f395e98d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a54ffa3102e78f395e98b'}]",2022-08-31T23:29:21,116.498044,35.727783,116.4925054344884,35.72785172412957,金融保险服务,自动提款机,农村商业银行ATM
B0IDYCV7LL,中国人寿,建设东路272号老鲁南地质工程勘察院二楼,山东省,370000,济宁市,537,兖州区,370812,[],金融保险服务;保险公司;中国人寿保险公司,[],2022-08-31T15:55:05,116.826268,35.555249,116.82075652540898,35.55549873612302,金融保险服务,保险公司,中国人寿保险公司
B0FFGG74N2,济宁市中小企业电子商务服务中心,高新区吴泰闸路6号,山东省,370000,济宁市,537,任城区,370811,[],金融保险服务;金融保险服务机构;金融保险机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/568100dda3104d32a82543ed'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/568100dba3104d32a82543e1'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/bfc29b695e00659c77180cc4981f9ffa'}]",2022-08-31T05:21:35,116.626686,35.424629,116.62136606406835,35.4250540850825,金融保险服务,金融保险服务机构,金融保险机构
B0FFJIXAJI,中国邮政储蓄银行ATM(杨柳支行),镇南街11号,山东省,370000,济宁市,537,泗水县,370831,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,[],2022-08-30T15:09:46,117.137855,35.688187,117.13185197705708,35.6881134773752,金融保险服务,自动提款机,中国邮政储蓄银行ATM
B0IU6CRE0A,济宁银行,府前街与广场路交叉口西南40米,山东省,370000,济宁市,537,金乡县,370828,[],金融保险服务;银行;银行,[],2022-08-30T12:08:03,116.195813,34.95726,116.19026011567064,34.957950772946084,金融保险服务,银行,银行
B0IUACZJKT,莱商银行农村普惠金融综合服务点,乔家村村民委员会东侧80米,山东省,370000,济宁市,537,任城区,370811,[],金融保险服务;金融保险服务机构;金融保险机构,[],2022-08-30T02:30:05,116.501673,35.443645,116.49617685302267,35.44389427113074,金融保险服务,金融保险服务机构,金融保险机构
