id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0GRHASQKB,荷塘月色,微山湖风景名胜区,山东省,370000,济宁市,537,微山县,370826,15063736555,风景名胜;风景名胜相关;旅游景点,[],2022-08-29T08:42:12,117.079331,34.717029,117.07343683108864,34.71783130998676,风景名胜,风景名胜相关,旅游景点
B0FFILLV4S,孔府-内宅门,鼓楼北街与东门大街交叉路口往西约150米(孔府),山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,[],2022-08-23T18:27:30,116.991562,35.59695,116.98587244506876,35.59710601334677,风景名胜,风景名胜相关,旅游景点
B0IDRCPE2A,南阳古镇荷合里,南阳镇,山东省,370000,济宁市,537,微山县,370826,18954060777,风景名胜;风景名胜相关;旅游景点,[],2022-08-19T02:40:43,116.664657,35.085673,116.6592855434448,35.08637024470799,风景名胜,风景名胜相关,旅游景点
B0IAGD6AJS,高翔通用航空直升机着陆基地,104省道不远处(王因镇派出所斜对过),山东省,370000,济宁市,537,兖州区,370812,[],风景名胜;风景名胜相关;旅游景点,[],2022-08-02T10:23:46,116.778475,35.460629,116.77290474847516,35.460869932520566,风景名胜,风景名胜相关,旅游景点
B0IR273Q7V,微山湖旅游区-微山湖国家生态环境公园景区,微山湖大道与泰康街交口东南120米,山东省,370000,济宁市,537,微山县,370826,[],风景名胜;公园广场;公园,[],2022-08-01T20:35:08,117.143544,34.767806,117.13764813549987,34.768589028786714,风景名胜,公园广场,公园
B0FFHKQ1O8,孔庙-神庖(暂停开放),半壁街与天官第街交叉路口往东南约150米(孔庙),山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/48379fe9-d1a2-4f79-a9f4-1b3c37f309b7.jpg'}, {'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/50e840a7-ea7e-4d26-b879-1651f1dade08.jpg'}]",2022-07-26T16:23:56,116.990761,35.597434,116.98507479736432,35.59759214074914,风景名胜,风景名胜相关,旅游景点
B02190YH6R,鲁国盛世,南马道西街与鼓楼南街交叉口南30米,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': '鲁国盛世', 'url': 'http://store.is.autonavi.com/showpic/71a7f379d2919aecf7e9237973843c85'}, {'provider': [], 'title': '鲁国盛世', 'url': 'http://store.is.autonavi.com/showpic/95a0c1e2cf744753e09352c71fd09e94'}]",2022-07-26T02:26:03,116.992593,35.591167,116.98689966974445,35.59132328560246,风景名胜,风景名胜相关,旅游景点
B0FFJ55862,汉画像石展室(暂停开放),南马道西街17号附近孔庙内,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,[],2022-07-23T14:38:43,116.990743,35.597852,116.98505682946218,35.59800995255036,风景名胜,风景名胜相关,旅游景点
B0FFJ0GAHJ,赐藏书楼,亚圣府街44号孟府内,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,[],2022-07-20T09:12:04,116.973616,35.389649,116.96802212132728,35.39000564637131,风景名胜,风景名胜相关,旅游景点
B0IA7A7SKA,邾国古城,峄山镇纪王城村,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,[],2022-07-19T02:54:02,117.022864,35.308709,117.0170731970046,35.308992826129405,风景名胜,风景名胜相关,旅游景点
